season,week,scheme,celebrity_name,total_judge_score,judge_percent,judge_rank,eliminated_after_week,vote_share_point,vote_share_min,vote_share_max,vote_share_width
1,1,rank,John O'Hurley,20.0,0.1834862385321101,1.0,False,0.16666666666666666,0.0,1.0,1.0
1,1,rank,Kelly Monaco,13.0,0.1192660550458715,6.0,False,0.16666666666666666,0.0,1.0,1.0
1,1,rank,Evander Holyfield,18.0,0.1651376146788991,4.0,False,0.16666666666666666,0.0,1.0,1.0
1,1,rank,Rachel Hunter,20.0,0.1834862385321101,1.0,False,0.16666666666666666,0.0,1.0,1.0
1,1,rank,Joey McIntyre,20.0,0.1834862385321101,1.0,False,0.16666666666666666,0.0,1.0,1.0
1,1,rank,Trista Sutter,18.0,0.1651376146788991,4.0,False,0.16666666666666666,0.0,1.0,1.0
1,2,rank,John O'Hurley,26.0,0.2148760330578512,1.0,False,0.12455905480882523,0.00018020721532431328,0.7179329183041481,0.7177527110888238
1,2,rank,Kelly Monaco,17.0,0.140495867768595,5.0,False,0.2033769636683342,0.00975336105352141,0.8170148128586646,0.8072614518051432
1,2,rank,Evander Holyfield,14.0,0.1157024793388429,6.0,False,0.19727011711368164,0.01841681938785453,0.6668275500296444,0.6484107306417899
1,2,rank,Rachel Hunter,24.0,0.1983471074380165,2.0,False,0.1685499298522028,0.00044014387804968644,0.6795987579894358,0.6791586141113861
1,2,rank,Joey McIntyre,21.0,0.1735537190082644,3.0,False,0.15969418346710232,0.000737750986701887,0.7419140053015372,0.7411762543148352
1,2,rank,Trista Sutter,19.0,0.1570247933884297,4.0,True,0.14654975108985385,0.0001630898893594689,0.19050873862095496,0.19034564873159548
1,3,rank,John O'Hurley,24.0,0.2264150943396226,2.0,False,0.16931878492736874,7.273569169824294e-05,0.834206111263865,0.8341333755721668
1,3,rank,Kelly Monaco,21.0,0.1981132075471698,4.0,False,0.18367019473899113,0.0018887261445828902,0.7648886608267285,0.7629999346821456
1,3,rank,Evander Holyfield,13.0,0.1226415094339622,5.0,True,0.21787747588368636,0.0006621951486139227,0.7440987067654508,0.7434365116168369
1,3,rank,Rachel Hunter,26.0,0.2452830188679245,1.0,False,0.1824423784526376,0.00029458466969903974,0.9277055526217957,0.9274109679520967
1,3,rank,Joey McIntyre,22.0,0.2075471698113207,3.0,False,0.24669116599731614,5.243544026933746e-05,0.7922524463625713,0.792200010922302
1,4,rank,John O'Hurley,21.0,0.2282608695652173,3.0,False,0.2672076813336385,0.013149358523775311,0.8320550193786321,0.8189056608548568
1,4,rank,Kelly Monaco,26.0,0.2826086956521739,1.0,False,0.22079571986403468,0.0010935287872746852,0.829309617622887,0.8282160888356124
1,4,rank,Rachel Hunter,25.0,0.2717391304347826,2.0,True,0.2021570022274062,0.00045646104392858865,0.2702511281258125,0.2697946670818839
1,4,rank,Joey McIntyre,20.0,0.217391304347826,4.0,False,0.3098395965749206,0.07144458574840155,0.9335382915117747,0.8620937057633732
1,5,rank,John O'Hurley,27.0,0.3698630136986301,1.0,False,0.3478232723095291,0.0007137439168997932,0.9720150472836327,0.9713013033667329
1,5,rank,Kelly Monaco,23.5,0.3219178082191781,2.0,False,0.33202343634834497,0.000951531882482783,0.9593654527896305,0.9584139209071477
1,5,rank,Joey McIntyre,22.5,0.3082191780821918,3.0,True,0.32015329134212606,0.00017074843092733602,0.9550703833362719,0.9548996349053446
1,6,rank,John O'Hurley,27.0,0.4954128440366973,2.0,False,0.5,0.0,1.0,1.0
1,6,rank,Kelly Monaco,27.5,0.5045871559633027,1.0,False,0.5,0.0,1.0,1.0
2,1,rank,Tatum O'Neal,23.0,0.1179487179487179,2.0,False,0.09544193500701316,0.00016385936990984722,0.5849652866546053,0.5848014272846955
2,1,rank,Tia Carrere,20.0,0.1025641025641025,6.0,False,0.03517183573621255,2.997259270724964e-05,0.5499886207482234,0.5499586481555162
2,1,rank,George Hamilton,18.0,0.0923076923076923,8.0,False,0.08789292067396386,0.001371113514028623,0.46304998952971893,0.4616788760156903
2,1,rank,Lisa Rinna,19.0,0.0974358974358974,7.0,False,0.1609051174773456,1.4459066264688318e-05,0.5230821398396366,0.5230676807733718
2,1,rank,Stacy Keibler,22.0,0.1128205128205128,4.0,False,0.07722016627134586,0.00017212975094501543,0.5819597571465711,0.5817876273956261
2,1,rank,Jerry Rice,21.0,0.1076923076923077,5.0,False,0.12738416725077814,0.00020589603523956846,0.5116512384841153,0.5114453424488757
2,1,rank,Giselle Fernandez,23.0,0.1179487179487179,2.0,False,0.08993342895620793,3.947939910667999e-05,0.592490089057822,0.5924506096587153
2,1,rank,Master P,12.0,0.0615384615384615,10.0,False,0.0883117020582365,0.0008255569146499273,0.5072894407256114,0.5064638838109615
2,1,rank,Drew Lachey,24.0,0.123076923076923,1.0,False,0.18119005244090702,5.0885529345062126e-05,0.4827164532793079,0.48266556774996283
2,1,rank,Kenny Mayne,13.0,0.0666666666666666,9.0,True,0.05654867412798935,4.8119192153726204e-05,0.13528465283419833,0.1352365336420446
2,2,rank,Tatum O'Neal,17.0,0.085,8.0,True,0.06751662958038619,6.017806496053592e-06,0.16369000732923442,0.16368398952273835
2,2,rank,Tia Carrere,22.0,0.11,5.0,False,0.09669462212108693,0.00029447600395120254,0.4366910014545985,0.4363965254506473
2,2,rank,George Hamilton,22.0,0.11,5.0,False,0.06979107924460513,0.00018811429941688215,0.6106602779516649,0.610472163652248
2,2,rank,Lisa Rinna,20.0,0.1,7.0,False,0.14460320422229472,0.0020293222477123386,0.7099592835425917,0.7079299612948794
2,2,rank,Stacy Keibler,29.0,0.145,1.0,False,0.08604143070023881,0.0003690012587379645,0.568768440619111,0.5683994393603731
2,2,rank,Jerry Rice,23.0,0.115,4.0,False,0.17885007511292267,7.182623945436821e-05,0.6114270984326063,0.611355272193152
2,2,rank,Giselle Fernandez,24.0,0.12,3.0,False,0.1217628907387512,0.0003001159248227862,0.5757745256111776,0.5754744096863548
2,2,rank,Master P,16.0,0.08,9.0,False,0.08720987629369367,0.0040919108787745295,0.5304760159792588,0.5263841051004843
2,2,rank,Drew Lachey,27.0,0.135,2.0,False,0.14753019198602085,0.00029225424368260137,0.5094724452846671,0.5091801910409844
2,3,rank,Tia Carrere,26.0,0.1428571428571428,3.0,False,0.08320874717565825,0.00021428112059181573,0.5549596953669939,0.554745414246402
2,3,rank,George Hamilton,22.0,0.1208791208791208,5.0,False,0.1212158012143905,0.004603538889010926,0.6112683986825194,0.6066648597935085
2,3,rank,Lisa Rinna,25.0,0.1373626373626373,4.0,False,0.14237514932810852,0.0005871649558553688,0.5551391283822519,0.5545519634263965
2,3,rank,Stacy Keibler,27.0,0.1483516483516483,1.0,False,0.12671678825072555,0.00037866334855552993,0.6225582379125378,0.6221795745639823
2,3,rank,Jerry Rice,19.0,0.1043956043956044,7.0,False,0.19240006050768632,0.006165768507936097,0.6452332976938472,0.6390675291859111
2,3,rank,Giselle Fernandez,22.0,0.1208791208791208,5.0,True,0.0590355912852694,1.9537158258525665e-05,0.12571201511215144,0.1256924779538929
2,3,rank,Master P,14.0,0.0769230769230769,8.0,False,0.18509554276510864,0.009871293293031533,0.6439776827368641,0.6341063894438326
2,3,rank,Drew Lachey,27.0,0.1483516483516483,1.0,False,0.08995231947305284,3.5771000451721804e-05,0.5716373989629702,0.5716016279625185
2,4,rank,Tia Carrere,25.0,0.1582278481012658,4.0,False,0.13227936478131067,0.0004029915728039598,0.6463712228684874,0.6459682312956834
2,4,rank,George Hamilton,21.0,0.1329113924050632,6.0,False,0.20103903435454795,0.00042254547390123697,0.6620707680680362,0.661648222594135
2,4,rank,Lisa Rinna,26.0,0.1645569620253164,2.0,False,0.14168727261003933,0.001012484518678607,0.7249596945506055,0.7239472100319269
2,4,rank,Stacy Keibler,26.0,0.1645569620253164,2.0,False,0.13329768739881281,0.0002415922167087663,0.7892811121715629,0.7890395199548542
2,4,rank,Jerry Rice,24.0,0.1518987341772152,5.0,False,0.13490169875035624,9.495068369598985e-05,0.7357924111622702,0.7356974604785742
2,4,rank,Master P,8.0,0.050632911392405,7.0,True,0.0642625354133507,0.0001742109790523112,0.39188206764291894,0.39170785666386665
2,4,rank,Drew Lachey,28.0,0.1772151898734177,1.0,False,0.19253240669158228,3.287998893468341e-05,0.7380201381223532,0.7379872581334186
2,5,rank,Tia Carrere,22.0,0.1456953642384106,6.0,True,0.1315158963932083,5.1237926891896905e-05,0.5800707061215664,0.5800194681946745
2,5,rank,George Hamilton,24.0,0.1589403973509933,4.0,False,0.21537584962907497,0.0002320091691402502,0.7235697439923309,0.7233377348231906
2,5,rank,Lisa Rinna,25.0,0.1655629139072847,3.0,False,0.0985289394186259,0.0012937696758085065,0.5778341372424695,0.5765403675666609
2,5,rank,Stacy Keibler,30.0,0.1986754966887417,1.0,False,0.23138355908538955,0.0005316779742675022,0.7972895242464804,0.7967578462722129
2,5,rank,Jerry Rice,23.0,0.152317880794702,5.0,False,0.1714319136040679,0.0001503497862375459,0.8353455887839313,0.8351952389976938
2,5,rank,Drew Lachey,27.0,0.1788079470198675,2.0,False,0.15176384186963346,0.0005798547610756018,0.6889016073870391,0.6883217526259635
2,6,rank,George Hamilton,23.0,0.1729323308270676,4.0,True,0.19771711628638738,9.469246814013996e-05,0.4209975245995514,0.4209028321314113
2,6,rank,Lisa Rinna,27.0,0.2030075187969924,3.0,False,0.23222952061755864,0.001001028655294984,0.7854305931559017,0.7844295645006067
2,6,rank,Stacy Keibler,30.0,0.225563909774436,1.0,False,0.21996369108214428,7.781072284805557e-05,0.7809679754999457,0.7808901647770976
2,6,rank,Jerry Rice,23.0,0.1729323308270676,4.0,False,0.19884666505807339,0.018437817593732912,0.920729656055064,0.9022918384613311
2,6,rank,Drew Lachey,30.0,0.225563909774436,1.0,False,0.15124300695583617,0.000680474939501352,0.8293053223808383,0.828624847441337
2,7,rank,Lisa Rinna,26.5,0.2598039215686274,3.0,True,0.20133035326139545,0.000455068519205347,0.41138224190411316,0.4109271733849078
2,7,rank,Stacy Keibler,27.5,0.2696078431372549,1.0,False,0.26401227116063136,0.0007848667976713925,0.9001421079550089,0.8993572411573375
2,7,rank,Jerry Rice,20.5,0.2009803921568627,4.0,False,0.2807693976775387,0.022338839673107225,0.9000621636092921,0.8777233239361849
2,7,rank,Drew Lachey,27.5,0.2696078431372549,1.0,False,0.25388797790043444,0.00040175189061421215,0.9496870294808039,0.9492852775901897
2,8,rank,Stacy Keibler,28.6665,0.339920718960216,2.0,False,0.3333333333333333,0.0,1.0,1.0
2,8,rank,Jerry Rice,26.666600000000003,0.3162063678588072,3.0,False,0.3333333333333333,0.0,1.0,1.0
2,8,rank,Drew Lachey,28.9998,0.3438729131809768,1.0,False,0.3333333333333333,0.0,1.0,1.0
3,1,percent,Harry Hamlin,17.0,0.080188679245283,8.0,False,0.09876334067423344,0.0,1.0,1.0
3,1,percent,Vivica A. Fox,22.0,0.1037735849056603,3.0,False,0.09876334067423344,0.0,1.0,1.0
3,1,percent,Monique Coleman,19.0,0.0896226415094339,6.0,False,0.09876334067423344,0.0,1.0,1.0
3,1,percent,Joey Lawrence,21.0,0.0990566037735849,5.0,False,0.09876334067423344,0.0,1.0,1.0
3,1,percent,Mario Lopez,26.0,0.1226415094339622,1.0,False,0.09876334067423344,0.0,1.0,1.0
3,1,percent,Emmitt Smith,24.0,0.1132075471698113,2.0,False,0.09876334067423344,0.0,1.0,1.0
3,1,percent,Shanna Moakler,18.0,0.0849056603773584,7.0,False,0.09876334067423344,0.0,1.0,1.0
3,1,percent,Willa Ford,22.0,0.1037735849056603,3.0,False,0.09876334067423344,0.0,1.0,1.0
3,1,percent,Sara Evans,15.0,0.070754716981132,10.0,False,0.09876334067423344,0.0,1.0,1.0
3,1,percent,Jerry Springer,16.0,0.0754716981132075,9.0,False,0.09876334067423344,0.0,1.0,1.0
3,1,percent,Tucker Carlson,12.0,0.0566037735849056,11.0,True,0.01236659325766559,0.0,0.12521440823327612,0.12521440823327612
3,2,percent,Harry Hamlin,21.0,0.0913043478260869,7.0,False,0.1101364522417154,0.004347826086956497,0.9782608695652175,0.973913043478261
3,2,percent,Vivica A. Fox,24.0,0.1043478260869565,3.0,False,0.1091617933723197,0.0,0.973913043478261,0.973913043478261
3,2,percent,Monique Coleman,26.0,0.1130434782608695,2.0,False,0.1091617933723197,0.0,0.973913043478261,0.973913043478261
3,2,percent,Joey Lawrence,29.0,0.1260869565217391,1.0,False,0.1091617933723197,0.0,0.973913043478261,0.973913043478261
3,2,percent,Mario Lopez,21.0,0.0913043478260869,7.0,False,0.1101364522417154,0.004347826086956497,0.9782608695652175,0.973913043478261
3,2,percent,Emmitt Smith,24.0,0.1043478260869565,3.0,False,0.1091617933723197,0.0,0.973913043478261,0.973913043478261
3,2,percent,Shanna Moakler,22.0,0.0956521739130434,6.0,True,0.01169590643274854,0.0,0.10434782608695656,0.10434782608695656
3,2,percent,Willa Ford,23.0,0.1,5.0,False,0.1091617933723197,0.0,0.973913043478261,0.973913043478261
3,2,percent,Sara Evans,21.0,0.0913043478260869,7.0,False,0.1101364522417154,0.004347826086956497,0.9782608695652175,0.973913043478261
3,2,percent,Jerry Springer,19.0,0.0826086956521739,10.0,False,0.11208576998050682,0.013043478260869504,0.9869565217391305,0.973913043478261
3,3,percent,Harry Hamlin,22.0,0.1062801932367149,4.0,True,0.014492753623188408,0.0,0.11594202898550726,0.11594202898550726
3,3,percent,Vivica A. Fox,27.0,0.1304347826086956,1.0,False,0.12258454106280194,0.0,0.9806763285024155,0.9806763285024155
