season,week,celebrity_name,judge_percent,est_fan_percent,uncertainty,is_eliminated
1,2,John O'Hurley,21.487603305785118,16.62233881813762,13.588939443427549,False
1,2,Kelly Monaco,14.049586776859499,21.251482446337743,13.58430989640714,False
1,2,Evander Holyfield,11.57024793388429,24.07192818470763,13.59234282652542,False
1,2,Rachel Hunter,19.83471074380165,17.126741101620592,13.589553426953847,False
1,2,Joey McIntyre,17.35537190082644,17.70309234384515,13.093031716006864,False
1,2,Trista Sutter,15.70247933884297,3.2244171053511788,2.462291198456424,True
1,3,John O'Hurley,22.64150943396226,22.82167549147058,17.121596958977616,False
1,3,Kelly Monaco,19.81132075471698,23.54694630473196,17.509169057915546,False
1,3,Evander Holyfield,12.264150943396219,7.100643722680182,4.867138526112535,True
1,3,Rachel Hunter,24.528301886792452,22.768614497991496,17.442768378625207,False
1,3,Joey McIntyre,20.75471698113207,23.762119983125732,17.363637821298656,False
1,4,John O'Hurley,22.826086956521728,32.68307142728087,16.663905459709536,False
1,4,Kelly Monaco,28.26086956521739,27.51050964959276,16.3376192127869,False
1,4,Rachel Hunter,27.173913043478258,5.684780398184576,4.388436541009934,True
1,4,Joey McIntyre,21.7391304347826,34.12163852494187,16.532001994023258,False
2,1,Tatum O'Neal,11.79487179487179,10.363885801276723,9.381182227306335,False
2,1,Tia Carrere,10.25641025641025,10.592114356791093,9.414255915050871,False
2,1,George Hamilton,9.23076923076923,11.084381789094827,9.59176022594933,False
2,1,Lisa Rinna,9.74358974358974,10.577506746152169,9.187694945816755,False
2,1,Stacy Keibler,11.28205128205128,10.584856948742516,9.377356599060548,False
2,1,Jerry Rice,10.76923076923077,10.561669826414876,9.406579014854154,False
2,1,Giselle Fernandez,11.79487179487179,10.267147015254604,9.01140282895375,False
2,1,Master P,6.15384615384615,13.079622175467291,9.364708610673572,False
2,1,Drew Lachey,12.3076923076923,10.631057603200597,9.545100645303878,False
2,1,Kenny Mayne,6.66666666666666,2.257757737605349,1.6013783806362998,True
2,2,Tatum O'Neal,8.5,2.2066384228730764,1.6166774727939346,True
2,2,Tia Carrere,11.0,12.073266776820114,10.310643031856841,False
2,2,George Hamilton,11.0,12.151540036743315,10.161565090621693,False
2,2,Lisa Rinna,10.0,12.734467249127778,10.347987536165935,False
2,2,Stacy Keibler,14.499999999999998,11.832288050155073,10.570003157169662,False
2,2,Jerry Rice,11.5,11.814799239962744,10.347994954691384,False
2,2,Giselle Fernandez,12.0,11.744324967592684,10.294261603994086,False
2,2,Master P,8.0,14.11083656963258,10.232655184282436,False
2,2,Drew Lachey,13.5,11.331838687092656,9.923085439176637,False
2,3,Tia Carrere,14.28571428571428,13.054621243258273,10.536962368242886,False
2,3,George Hamilton,12.08791208791208,13.290856821506939,10.251327504721967,False
2,3,Lisa Rinna,13.736263736263728,12.99149646519337,10.521303767882978,False
