Season,Week,Name,Judge_Percent,Fan_Min,Fan_Max,Fan_Est,Is_Eliminated
1,2,John O'Hurley,21.487603305785118,0.0,94.19487603305785,47.097438016528926,False
1,2,Kelly Monaco,14.049586776859499,1.662892561983471,95.85776859504132,48.760330578512395,False
1,2,Evander Holyfield,11.57024793388429,4.142231404958681,98.33710743801653,51.239669421487605,False
1,2,Rachel Hunter,19.83471074380165,0.0,94.19487603305785,47.097438016528926,False
1,2,Joey McIntyre,17.35537190082644,0.0,94.19487603305785,47.097438016528926,False
1,2,Trista Sutter,15.70247933884297,0.0,17.622520661157026,8.811260330578513,True
1,3,John O'Hurley,22.64150943396226,0.0,100.0,50.0,False
1,3,Kelly Monaco,19.81132075471698,0.0,100.0,50.0,False
1,3,Evander Holyfield,12.264150943396219,0.0,27.72784905660378,13.86392452830189,True
1,3,Rachel Hunter,24.528301886792452,0.0,100.0,50.0,False
1,3,Joey McIntyre,20.75471698113207,0.0,100.0,50.0,False
1,4,John O'Hurley,22.826086956521728,4.35782608695653,94.55521739130434,49.45652173913044,False
1,4,Kelly Monaco,28.26086956521739,0.0,90.1973913043478,45.0986956521739,False
1,4,Rachel Hunter,27.173913043478258,0.0,22.818586956521735,11.409293478260867,True
1,4,Joey McIntyre,21.7391304347826,5.444782608695659,95.64217391304346,50.54347826086956,False
2,1,Tatum O'Neal,11.79487179487179,0.0,99.47717948717948,49.73858974358974,False
2,1,Tia Carrere,10.25641025641025,0.0,99.47717948717948,49.73858974358974,False
2,1,George Hamilton,9.23076923076923,0.0,99.47717948717948,49.73858974358974,False
2,1,Lisa Rinna,9.74358974358974,0.0,99.47717948717948,49.73858974358974,False
2,1,Stacy Keibler,11.28205128205128,0.0,99.47717948717948,49.73858974358974,False
2,1,Jerry Rice,10.76923076923077,0.0,99.47717948717948,49.73858974358974,False
2,1,Giselle Fernandez,11.79487179487179,0.0,99.47717948717948,49.73858974358974,False
2,1,Master P,6.15384615384615,0.5228205128205101,100.0,50.26141025641026,False
2,1,Drew Lachey,12.3076923076923,0.0,99.47717948717948,49.73858974358974,False
2,1,Kenny Mayne,6.66666666666666,0.0,13.324333333333335,6.662166666666668,True
2,2,Tatum O'Neal,8.5,0.0,13.71333333333333,6.856666666666665,True
2,2,Tia Carrere,11.0,0.0,99.49,49.745,False
2,2,George Hamilton,11.0,0.0,99.49,49.745,False
2,2,Lisa Rinna,10.0,0.0,99.49,49.745,False
2,2,Stacy Keibler,14.499999999999998,0.0,99.49,49.745,False
2,2,Jerry Rice,11.5,0.0,99.49,49.745,False
2,2,Giselle Fernandez,12.0,0.0,99.49,49.745,False
2,2,Master P,8.0,0.51,100.0,50.255,False
2,2,Drew Lachey,13.5,0.0,99.49,49.745,False
2,3,Tia Carrere,14.28571428571428,0.0,93.92604395604397,46.963021978021985,False
2,3,George Hamilton,12.08791208791208,0.01,93.93604395604397,46.97302197802199,False
2,3,Lisa Rinna,13.736263736263728,0.0,93.92604395604397,46.963021978021985,False
2,3,Stacy Keibler,14.83516483516483,0.0,93.92604395604397,46.963021978021985,False
2,3,Jerry Rice,10.43956043956044,1.6583516483516407,95.58439560439561,48.621373626373625,False
2,3,Giselle Fernandez,12.08791208791208,0.0,12.903337912087915,6.4516689560439575,True
2,3,Master P,7.69230769230769,4.40560439560439,98.33164835164835,51.36862637362637,False
2,3,Drew Lachey,14.83516483516483,0.0,93.92604395604397,46.963021978021985,False
2,4,Tia Carrere,15.822784810126581,0.0,100.0,50.0,False
2,4,George Hamilton,13.29113924050632,0.0,100.0,50.0,False
2,4,Lisa Rinna,16.455696202531637,0.0,100.0,50.0,False
2,4,Stacy Keibler,16.455696202531637,0.0,100.0,50.0,False
2,4,Jerry Rice,15.18987341772152,0.0,100.0,50.0,False
2,4,Master P,5.0632911392405,0.0,23.49956600361664,11.74978300180832,True
2,4,Drew Lachey,17.72151898734177,0.0,100.0,50.0,False
2,5,Tia Carrere,14.56953642384106,0.0,18.755463576158935,9.377731788079467,True
2,5,George Hamilton,15.89403973509933,0.0,100.0,50.0,False
2,5,Lisa Rinna,16.556291390728468,0.0,100.0,50.0,False
2,5,Stacy Keibler,19.867549668874172,0.0,100.0,50.0,False
2,5,Jerry Rice,15.2317880794702,0.0,100.0,50.0,False
2,5,Drew Lachey,17.880794701986748,0.0,100.0,50.0,False
2,6,George Hamilton,17.29323308270676,0.0,22.698766917293234,11.349383458646617,True
2,6,Lisa Rinna,20.300751879699238,0.0,99.99,49.995,False
2,6,Stacy Keibler,22.5563909774436,0.0,99.99,49.995,False
2,6,Jerry Rice,17.29323308270676,0.01,100.0,50.005,False
2,6,Drew Lachey,22.5563909774436,0.0,99.99,49.995,False
2,7,Lisa Rinna,25.98039215686274,0.0,24.012107843137255,12.006053921568627,True
2,7,Stacy Keibler,26.96078431372549,0.0,94.10764705882353,47.053823529411765,False
2,7,Jerry Rice,20.09803921568627,5.892352941176471,100.0,52.946176470588235,False
2,7,Drew Lachey,26.96078431372549,0.0,94.10764705882353,47.053823529411765,False
3,1,Harry Hamlin,8.0188679245283,0.0,100.0,50.0,False
3,1,Vivica A. Fox,10.37735849056603,0.0,100.0,50.0,False
3,1,Monique Coleman,8.96226415094339,0.0,100.0,50.0,False
3,1,Joey Lawrence,9.90566037735849,0.0,100.0,50.0,False
3,1,Mario Lopez,12.264150943396219,0.0,100.0,50.0,False
3,1,Emmitt Smith,11.32075471698113,0.0,100.0,50.0,False
3,1,Shanna Moakler,8.49056603773584,0.0,100.0,50.0,False
3,1,Willa Ford,10.37735849056603,0.0,100.0,50.0,False
3,1,Sara Evans,7.0754716981132,0.0,100.0,50.0,False
3,1,Jerry Springer,7.54716981132075,0.0,100.0,50.0,False
3,1,Tucker Carlson,5.66037735849056,0.0,12.512349914236705,6.256174957118352,True
3,2,Harry Hamlin,9.13043478260869,0.44478260869565056,97.79608695652175,49.1204347826087,False
3,2,Vivica A. Fox,10.43478260869565,0.0,97.3513043478261,48.67565217391305,False
3,2,Monique Coleman,11.30434782608695,0.0,97.3513043478261,48.67565217391305,False
3,2,Joey Lawrence,12.60869565217391,0.0,97.3513043478261,48.67565217391305,False
3,2,Mario Lopez,9.13043478260869,0.44478260869565056,97.79608695652175,49.1204347826087,False
3,2,Emmitt Smith,10.43478260869565,0.0,97.3513043478261,48.67565217391305,False
3,2,Shanna Moakler,9.56521739130434,0.0,10.425782608695656,5.212891304347828,True
3,2,Willa Ford,10.0,0.0,97.3513043478261,48.67565217391305,False
3,2,Sara Evans,9.13043478260869,0.44478260869565056,97.79608695652175,49.1204347826087,False
3,2,Jerry Springer,8.260869565217389,1.3143478260869517,98.66565217391306,49.99000000000001,False
3,3,Harry Hamlin,10.628019323671491,0.0,11.585314009661833,5.792657004830916,True
3,3,Vivica A. Fox,13.04347826086956,0.0,98.01763285024153,49.00881642512076,False
3,3,Monique Coleman,13.04347826086956,0.0,98.01763285024153,49.00881642512076,False
