season,week,celebrity_name,industry,judge_percent,est_fan_percent,is_eliminated
1,2,John O'Hurley,Actor/Actress,21.487603305785118,17.405110423637723,False
1,2,Kelly Monaco,Actor/Actress,14.049586776859499,17.503738015917005,False
1,2,Evander Holyfield,Athlete,11.57024793388429,19.983076858892215,False
1,2,Rachel Hunter,Model,19.83471074380165,13.93385317463983,False
1,2,Joey McIntyre,Singer/Rapper,17.35537190082644,15.323376072979684,False
1,2,Trista Sutter,TV Personality,15.70247933884297,15.850845453933536,True
1,3,John O'Hurley,Actor/Actress,22.64150943396226,20.833333333333336,False
1,3,Kelly Monaco,Actor/Actress,19.81132075471698,20.833333333333336,False
1,3,Evander Holyfield,Athlete,12.264150943396219,23.333333333333332,True
1,3,Rachel Hunter,Model,24.528301886792452,16.666666666666664,False
1,3,Joey McIntyre,Singer/Rapper,20.75471698113207,18.333333333333332,False
1,4,John O'Hurley,Actor/Actress,22.826086956521728,27.088764616358993,False
1,4,Kelly Monaco,Actor/Actress,28.26086956521739,27.088764616358993,False
1,4,Rachel Hunter,Model,27.173913043478258,20.193844079293175,True
1,4,Joey McIntyre,Singer/Rapper,21.7391304347826,25.628626687988838,False
2,1,Tatum O'Neal,Actor/Actress,11.79487179487179,10.245901639326258,False
2,1,Tia Carrere,Actor/Actress,10.25641025641025,10.245901639326258,False
2,1,George Hamilton,Actor/Actress,9.23076923076923,10.245901639326258,False
2,1,Lisa Rinna,Actor/Actress,9.74358974358974,10.245901639326258,False
2,1,Stacy Keibler,Athlete,11.28205128205128,11.475409835956505,False
2,1,Jerry Rice,Athlete,10.76923076923077,11.475409835956505,False
2,1,Giselle Fernandez,News Anchor,11.79487179487179,9.01639344269549,False
2,1,Master P,Singer/Rapper,6.15384615384615,9.272803699105745,False
2,1,Drew Lachey,Singer/Rapper,12.3076923076923,9.01639344269549,False
2,1,Kenny Mayne,Sports Broadcaster,6.66666666666666,8.759983186285236,True
2,2,Tatum O'Neal,Actor/Actress,8.5,10.531212909089188,True
2,2,Tia Carrere,Actor/Actress,11.0,11.20630074206035,False
2,2,George Hamilton,Actor/Actress,11.0,11.206300742613026,False
2,2,Lisa Rinna,Actor/Actress,10.0,11.206300742613026,False
2,2,Stacy Keibler,Athlete,14.499999999999998,12.581061145794846,False
2,2,Jerry Rice,Athlete,11.5,12.581061145794846,False
2,2,Giselle Fernandez,News Anchor,12.0,9.828274827737621,False
2,2,Master P,Singer/Rapper,8.0,11.031212909089188,False
2,2,Drew Lachey,Singer/Rapper,13.5,9.82827483520789,False
2,3,Tia Carrere,Actor/Actress,14.28571428571428,12.690355329938049,False
2,3,George Hamilton,Actor/Actress,12.08791208791208,12.690355329938049,False
2,3,Lisa Rinna,Actor/Actress,13.736263736263728,12.690355329938049,False
2,3,Stacy Keibler,Athlete,14.83516483516483,14.213197969440898,False
2,3,Jerry Rice,Athlete,10.43956043956044,14.213197969440898,False
2,3,Giselle Fernandez,News Anchor,12.08791208791208,8.969710492632498,True
2,3,Master P,Singer/Rapper,7.69230769230769,13.365314888236878,False
2,3,Drew Lachey,Singer/Rapper,14.83516483516483,11.167512690434688,False
2,4,Tia Carrere,Actor/Actress,15.822784810126581,14.285714285714285,False
2,4,George Hamilton,Actor/Actress,13.29113924050632,14.285714285714285,False
2,4,Lisa Rinna,Actor/Actress,16.455696202531637,14.285714285714285,False
2,4,Stacy Keibler,Athlete,16.455696202531637,16.0,False
2,4,Jerry Rice,Athlete,15.18987341772152,16.0,False
2,4,Master P,Singer/Rapper,5.0632911392405,12.571428571428573,True
2,4,Drew Lachey,Singer/Rapper,17.72151898734177,12.571428571428573,False
2,5,Tia Carrere,Actor/Actress,14.56953642384106,16.33986928104575,True
