Season,JFI_Percent,JFI_Rank,Agreement
1,0.8181844214958867,0.8181844214958867,1.0
2,4.826052334841946,-0.5555575926000617,0.2606060606060606
3,1.9166842362721659,0.8125027929783507,0.6363636363636364
4,4.299976350130074,4.299976350130074,1.0
5,19.997140408921528,0.3043497183482488,0.6783216783216784
6,2.428559025573548,2.019225216361424,0.8321678321678322
7,-4.7500720427593155,-10.444655658592206,0.8681318681318682
8,0.4805206162954826,-19.003458629470565,0.32417582417582413
9,-0.9510512122895957,3.8181228108292875,0.25
10,-8.571563267422775,-1.0000024444504196,0.7363636363636363
11,4.857093245404708,13.249526329433724,0.1258741258741259
12,-0.7297318992029435,-1.499958751134344,0.018181818181818184
13,1.4999953369710175,1.4150905215482157,0.4755244755244756
14,0.6206927158295987,1.0384672500314136,0.4755244755244756
15,1.7432389558177035,1.3146040532815992,0.7527472527472527
16,0.4146334232612252,0.5154631576161697,0.6573426573426573
17,0.8965495136796474,0.7272708363685528,0.4755244755244756
18,5.888795322474321,0.40540462198836563,0.21678321678321683
19,-1.28574771515488,192307.69230769234,0.5439560439560439
20,-0.09090968182202275,1.4285787245270578,0.4825174825174825
21,-0.3333434447511574,-5.0004550414087685,0.7637362637362637
22,-0.13207582805364926,-0.7741971196834875,0.9510489510489512
23,-0.31250355472793506,-3.555627458244155,0.6208791208791209
24,0.0,0.5999942800545301,0.9510489510489512
25,0.5660357921035065,1.1898706765004667,0.3021978021978022
26,-0.6078451038125908,2.5428451551585542,0.19999999999999998
27,0.3571444047686111,-0.07317105651542162,0.6813186813186813
28,0.3488383693927168,2.199984270112468,0.3076923076923077
29,0.5909015703436501,5.772653802587967,0.017857142857142853
30,0.9907381721602945,0.7999978666723557,0.7678571428571428
31,2.408154910482964,6.466593378608377,0.6852941176470588
32,44.1959781659869,-5.000151671267361,0.45494505494505494
33,0.37500142188039126,1.140347236084264,0.47802197802197804
34,1.2538042107567724,1.0574399970360349,0.3142857142857143
